         79804477 function calls (79163147 primitive calls) in 1254.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1001.553 1001.553 1044.631 1044.631 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1252(<dictcomp>)
      296    0.007    0.000    0.305    0.001 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/text.py:918(get_window_extent)
   272/68    0.007    0.000    0.018    0.000 /usr/lib/python3.8/copy.py:226(_deepcopy_dict)
      783    0.006    0.000    0.010    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1731(normalize_kwargs)
     9935    0.006    0.000    0.013    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/__init__.py:729(__getitem__)
     1324    0.006    0.000    0.006    0.000 {built-in method matplotlib._path.affine_transform}
     3084    0.006    0.000    0.018    0.000 /usr/lib/python3.8/copy.py:66(copy)
       28    0.006    0.000    0.006    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      276    0.006    0.000    0.009    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:624(translated)
     2281    0.006    0.000    0.024    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     6562    0.006    0.000    0.008    0.000 /usr/lib/python3.8/gzip.py:401(_init_read)
     2564    0.006    0.000    0.015    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1999(_setattr_cm)
       68    0.006    0.000    0.009    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/lines.py:1181(set_marker)
       11    0.006    0.001    0.006    0.001 {built-in method builtins.print}
       64    0.005    0.000    0.174    0.003 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/axis.py:1257(_update_ticks)
  4100/68    0.005    0.000    0.018    0.000 /usr/lib/python3.8/copy.py:128(deepcopy)
       80    0.005    0.000    0.015    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/ticker.py:778(_set_format)
       25    0.005    0.000    0.005    0.000 {method 'write' of '_io.BufferedRandom' objects}
1925/1181    0.005    0.000    0.006    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
        2    0.005    0.002    0.016    0.008 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/pandas/core/algorithms.py:534(factorize_array)
      120    0.005    0.000    0.034    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/lines.py:274(__init__)
     9936    0.005    0.000    0.007    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/__init__.py:678(_get)
     1490    0.004    0.000    0.012    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:1889(__init__)
      488    0.004    0.000    0.004    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:2910(_interval_contains_close)
      490    0.004    0.000    0.025    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:1475(transform)
      544    0.004    0.000    0.004    0.000 {built-in method math.radians}
     5011    0.004    0.000    0.004    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:110(__init__)
      144    0.004    0.000    0.154    0.001 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/text.py:738(draw)
  772/564    0.004    0.000    0.020    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:2444(get_affine)
      204    0.004    0.000    0.037    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/lines.py:728(draw)
        1    0.004    0.004    0.004    0.004 {built-in method posix.listdir}
      108    0.004    0.000    0.014    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/lines.py:656(recache)
     1372    0.004    0.000    0.012    0.000 /usr/lib/python3.8/copy.py:258(_reconstruct)
        6    0.004    0.001    0.004    0.001 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/gridspec.py:432(<dictcomp>)
